object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,contents,evenodd,fill,fontname,linewidth,non_stroking_color,points,pts,size,stroke,stroking_color,text,title,upright,uri
char,2,89.0,96.2,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.200000000000003,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,1,,1,
char,2,96.2,103.4,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.200000000000003,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,.,,1,
char,2,103.4,110.60000000000001,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.200000000000003,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,9,,1,
char,2,110.6,117.8,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.200000000000003,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,1,,1,
char,2,117.8,125.0,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.200000000000003,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,7,,1,
char,2,125.0,132.2,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.199999999999989,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,9,,1,
char,2,132.2,139.39999999999998,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.199999999999989,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,6,,1,
char,2,139.4,146.6,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.199999999999989,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,0,,1,
char,2,146.6,153.79999999999998,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.199999999999989,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,.,,1,
char,2,153.8,161.0,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.199999999999989,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,1,,1,
char,2,161.0,168.2,30.674400000000002,42.6744,749.3256,749.3256,761.3256,7.199999999999989,11.999999999999996,0.6,,,,SFVHUL+CourierNewPSMT,,"[0, 0, 0, 1]",,,11.999999999999996,,,0,,1,
